model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
Oracle,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
Oracle,2,5.775127946714049,0.288572126038025,5.357552004618084,5.977279923499917
Oracle,3,5.473965831305184,0.267209562209408,5.087462841250339,5.672425341971495
Oracle,4,4.894621747657513,0.301266130532763,4.459431618637297,5.129283016944966
Oracle,5,4.127720398363866,0.297673188243519,3.700439718141092,4.392317422778761
Oracle,6,3.097938502698477,0.366918974674525,2.584962500721156,3.459431618637297
Oracle,7,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Oracle,8,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Oracle,9,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
GPT 5,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
GPT 5,2,5.830247682725165,0.018694676258671,5.807354922057604,5.857980995127572
GPT 5,3,5.551355512800153,0.022677882188576,5.523561956057013,5.584962500721156
GPT 5,4,5.039689627929294,0.032319620314685,5.000000000000000,5.087462841250339
GPT 5,5,4.247127127332086,0.050678232984386,4.169925001442312,4.321928094887363
GPT 5,6,3.261126857509342,0.078494059931292,3.169925001442312,3.321928094887362
GPT 5,7,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000
GPT 5,8,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
GPT 5,9,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Gemini 2.5 Pro,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
Gemini 2.5 Pro,2,5.868839122095971,0.282893674504640,5.459431618637297,6.066089190457772
Gemini 2.5 Pro,3,5.593854998715324,0.265687639872397,5.209453365628950,5.781359713524660
Gemini 2.5 Pro,4,5.104400807610572,0.358615039158948,4.584962500721156,5.357552004618084
Gemini 2.5 Pro,5,4.656295997234702,0.232569771012287,4.321928094887363,4.857980995127572
Gemini 2.5 Pro,6,3.981437198198509,0.306733866103808,3.459431618637297,4.247927513443585
Gemini 2.5 Pro,7,2.869152544116604,0.250316649560596,2.321928094887362,3.169925001442312
Gemini 2.5 Pro,8,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000
Gemini 2.5 Pro,9,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Claude Sonnet 4.5,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
Claude Sonnet 4.5,2,5.857980995127571,0.000000000000001,5.857980995127572,5.857980995127572
Claude Sonnet 4.5,3,5.584962500721156,0.000000000000000,5.584962500721156,5.584962500721156
Claude Sonnet 4.5,4,5.129283016944966,0.000000000000000,5.129283016944966,5.129283016944966
Claude Sonnet 4.5,5,4.321928094887363,0.000000000000000,4.321928094887363,4.321928094887363
Claude Sonnet 4.5,6,3.459431618637297,0.000000000000000,3.459431618637297,3.459431618637297
Claude Sonnet 4.5,7,2.392034413166191,0.376599806996259,1.584962500721156,2.807354922057604
Claude Sonnet 4.5,8,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Claude Sonnet 4.5,9,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Grok 4,1,6.643856189774725,0.000000000000001,6.643856189774724,6.643856189774724
Grok 4,2,5.864500107876106,0.279661530429360,5.459431618637297,6.044394119358453
Grok 4,3,5.555838522054911,0.239537267567831,5.209453365628950,5.727920454563199
Grok 4,4,4.990260690745160,0.280597927003916,4.584962500721156,5.209453365628950
Grok 4,5,4.403083010477337,0.280228163470170,4.000000000000000,4.643856189774724
Grok 4,6,3.795449115837980,0.332260290028105,3.321928094887362,4.087462841250339
Grok 4,7,1.981378119121703,0.246828753884242,1.584962500721156,2.321928094887362
Grok 4,8,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
Grok 4,9,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
